service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,1,1,1,1,1,0,0,20181125,20190427
3,0,0,0,0,0,1,0,20181125,20190427
4,0,0,0,0,0,0,1,20181125,20190427
30,0,0,0,0,0,0,0,20181125,20190427
3602,0,0,0,0,0,0,0,20181125,20190427
3302,0,0,0,0,0,0,0,20181125,20190427
3303,0,0,0,0,0,0,0,20181125,20190427
3603,0,0,0,0,0,0,0,20181125,20190427
6703,0,0,0,0,0,0,0,20181125,20190427
6404,0,0,0,0,0,0,0,20181125,20190427
